
//item.food|bottle
	"item.bottle.empty"=>	"бутылка|1|5|0|0|",
	"item.bottle.life"=>	"напиток жизни|1|30|15|0|",
	"item.bottle.life.great"=>"напиток великой жизни|1|150|25|0|",
	"item.bottle.mana"=>	"напиток маны|1|40|0|10|",
	"item.bottle.mana.great"=>"напиток великой маны|1|150|0|25|",
	"item.bottle.health"=>	"напиток исцеления|1|100|15|10|",
	"item.food.meat"=>	"мясо|1|10|4|0|",
	"item.food.meat.fried"=>"жаренное мясо|1|25|8|0|",
	"item.food.apple"=>	"яблоко|1|4|2|0|",
	"item.food.sandwich"=>	"бутерброд|1|15|5|0|",
	"item.food.sausage"=>	"колбаса|1|20|9|0|",
	"item.food.cabbage"=>	"капуста|1|10|1|0|",
	"item.food.ham"=>		"окорок|1|30|13|0|",
	"item.food.bread"=>	"хлеб|1|16|6|0|",
	"item.food.mushroom"=>	"гриб|1|10|2|2|",
	"item.food.mushroom.dark"=>"темный гриб|1|40|5|5|",
	"item.food.healherb"=>	"лечебная трава|1|130|22|0|",
	"item.food.fireroot"=>	"огненный корень|1|160|0|18|",


//item.armor
	"item.armor.body.leather"=>	"кожаная броня|1|150|2",
	"item.armor.hand.leather"=>	"кожаные поручи|1|70|1",
	"item.armor.leg.leather"=>	"кожаные поножи|1|80|1",
	"item.armor.head.leather"=>	"кожаный шлем|1|70|1",
	"item.armor.body.bone"=>	"костяная броня|1|250|3",
	"item.armor.hand.bone"=>	"костяные поручи|1|90|1",
	"item.armor.body.mail"=>	"кольчуга|1|450|4",
	"item.armor.body.full"=>	"латный доспех|1|600|5",
	"item.armor.body.plate"=>	"пластинчатый доспех|1|1000|6",
	"item.armor.shield.wood"=>	"деревянный щит|1|80|1",
	"item.armor.shield.copperwood"=>"обитый щит|1|150|2",
	"item.armor.shield.bronze"=>	"бронзовый щит|1|250|3",
	"item.armor.shield.heavy"=>	"большой щит|1|400|4",


//item.weapon
	"item.weapon.knife"=>		"нож|1|10|1|3|0|4|ножом||",
	"item.weapon.knife.hunter"=>	"охотничий нож|1|15|1|5|0|4|ножом||",
	"item.weapon.knife.boot"=>	"нож-засапожник|1|20|2|4|0|4|ножом||",
	"item.weapon.knife.butcher"=>	"нож мясника|1|25|2|5|0|5|ножом||",
	"item.weapon.knife.cutlass"=>	"тесак|1|18|2|5|2|5|тесаком||",
	"item.weapon.dagger"=>		"кинжал|1|22|1|6|0|4|кинжалом||",
	"item.weapon.kortik"=>		"кортик|1|20|1|5|0|4|кортиком||",
	"item.weapon.shortsword"=>	"короткий меч|1|30|3|4|0|5|мечом||",
	"item.weapon.broadsword"=>	"широкий меч|1|35|3|5|0|5|мечом||",
	"item.weapon.halfsword"=>	"полуторный меч|1|40|4|5|2|5|мечом||",
	"item.weapon.longsword"=>	"длинный меч|1|50|5|7|3|5|мечом||",
	"item.weapon.twohandsword"=>	"двуручный меч|1|150|5|12|4|7|мечом||",
	"item.weapon.sabre"=>		"сабля|1|70|3|8|2|5|саблей||",
	"item.weapon.crookedsword"=>	"кривой меч|1|60|4|7|2|6|мечом||",
	"item.weapon.yatagan"=>		"ятаган|1|50|2|6|3|6|ятаганом||",
	"item.weapon.samuraysword"=>	"самурайский меч|1|200|3|10|0|5|мечом||",
