//все диалоги всех нпс

$arr_speak=array(
"npc.guard"=>array(
	"begin"=>	"Что ты хочешь узнать?|Кто вы?|who|Что вы здесь делаете?|what|А где тут...|where|Нет, ничего, я ошибся|end",
	"who"=>	"Мы городская стража, разве не это не заметно?|И чем вы занимаетесь?|what|Городская стража?|who2|Понятно, ну, мне пора...|end",
	"what"=>	"Мы защищаем мирных граждан от преступников и всякой нечисти, что прет из окрестных лесов.|Ух-ты! А можно мне с вами?|help|Каких преступников?|prest|Ясно|begin",
	"where"=>	"Эй, я же на службе и в мои обязанности не входит работать путеводителем.|Ок, сменим тему|begin|А что входит?|what|Тогда не буду мешать|end",
	"who2"=>	"Ну да, отборные войска, лучшие из лучших и все такое. Вот будет заварушка, убедишься сам.|Я тоже хочу стать стражником!|can|Хм.. много чести разговаривать с таким хвастуном...|end",
	"can"=>	"Вряд ли у тебя получится, чтобы стать городским стражником, надо быть действительно лучшим, а кроме того, примерным горожанином. Поживи здесь, познакомься с людьми и тогда посмотрим...|Так все-таки, как стать стражником?|imp|Эээ... Я передумал...|begin",
	"imp"=>	"[сердится] Как да как, вот пристал. Как только так сразу! Не задавай дурацких вопросов!|Хорошо, не буду|begin",
	"prest"=>	"Ну, воришек там всяких, убийц и тому подобной дряни. А также тех кто им помогает.|Хорошее дело, а помощь вам нужна?|help|Эээ... я, пожалуй, пойду отсюда, что-то мне здесь разонравилось...|end",
	"help"=>	"Хочешь помочь? Вытаскивай меч и помогай, если нападешь на преступника в охраняемой зоне, тебе ничего не будет. [ухмыляется] Ну кроме разве что благодарности от жителей города... [опять ухмыляется] Хотя в крайнем случае мы и сами справимся...|Нет, я имел ввиду, как к вам присоединиться?|can|Да ну вас к черту, разбирайтесь сами!|end",
	"end"=>	"Как знаешь, удачи! [многозначительно] Надеюсь, мы и впредь будем встречаться исключительно для беседы...",
),
"npc.healer"=>array(
	"begin"=>	"Здравствуй, <name>! Как твои дела, как здоровье?|Спасибо, хорошо. Кто вы?|who|Вы можете меня вылечить?|heal|Я занят, до свидания|end",
	"who"=>	"Я лекарь, помогаю людям, попавшим в беду. Кроме того, я могу возвращать к жизни призраков.|Как это?|how|Вы можете меня вылечить?|heal|Понятно, мне пора...|end",
	"heal"=>	"В принципе, могу, но я занят более важными делами - помогаю тем, от кого в этом мире осталась лишь бледное подобие тени. А об обычных ранах и порезах, уверен, ты позаботишься и сам.|Поподробнее про тень, пожалуйста|how|Завидую вашей уверенности, в таком случае мне пора...|end",
	"how"=>	"После физической смерти, душа человека продолжает бродить по свету, но ее еще можно при некотором желании вернуть в мир живых.|И что для этого надо сделать?|res|А, я это и так знал, счастливо!|end",
	"res"=>	"Для этого надо просто постоять рядом со мной и я все сделаю сам. Либо найти камень воскрешения и дотронуться до него. Впрочем, опытный маг тоже может воскресить призрака.|Спасибо за объяснение, мне пора|end",
	"end"=>	"Удачи, береги себя!",
),
"npc.trader"=>array(
	"begin"=>	"Здравствуй, <name>! Желаешь что-нибудь продать или купить?|Да, я хочу купить|buyinfo|Я хочу кое-что продать|sellinfo|В другой раз, до свидания|end",
	"buyinfo"=>	"Хорошо, для этого в любой момент просто позови меня и я покажу тебе список своих товаров.|Я хочу посмотреть список товаров|buy|Как часто обновляется ассортимент?|upd|Интересно, а цены у всех продавцов одинаковы?|price",
	"upd"=>	"Это зависит от продавца, у некоторых раз в день, у других раз в неделю. Одни товары появляются чаще, другие реже. Это зависит от многих факторов, просто почаще заглядывай и не пропустишь что тебе нужно.|Ок, можно посмотреть ваши товары?|buy",
	"sellinfo"=>"Отлично, покажи свои товары и я назову свою цену.|Цены у всех продавцов одинаковы?|price|Ясно, тогда перейдем к делу|sell",
	"price"=>	"Хм... Нет, конечно, каждый торговец может назначить свою цену, у кого-то дороже, у кого-то дешевле.|Ясно, покажите мне ваши товары|buy",
	"end"=>	"Всегда к вашим услугам",
),
"npc.bankir"=>array(
	"begin"=>	"Здравствуй, <name>! Хочешь что-нибудь положить в банк или, наоборот, забрать?|Кто вы?|who|Я хочу положить в банк|tobank|Я хочу забрать из банка|frombank|Как мне положить предмет в банк?|tobankinfo|Как мне забрать что-нибудь из банка?|frombankinfo|Не в этот раз, до встречи!|end",
	"who"=>	"Я банкир, и я могу положить твои вещи в надежное хранилище, а потом по первому требованию выдать их обратно.|А если я погибну, что будет с моими вещами?|die|И сколько это удовольствие будет мне стоить?|cost|Забрать свои вещи я могу только у вас?|place|Как мне положить предмет в банк?|tobankinfo|Как мне забрать что-нибудь из банка?|frombankinfo|На сегодня все, спасибо|end",
	"die"=>	"Они по прежнему будут храниться в надежном сейфе, и как только вы их потребуете, будут вам возвращены.|Неплохо, еще пара вопросов...|who",
	"cost"=>	"Абсолютно нисколько, наш сервис работает совершенно бесплатно.|Гм...у меня есть еще вопросы|who",
	"place"=>	"Не обязательно, положить в банк вещи и забрать их оттуда можно у любого представителя нашей профессии, а не только у меня. Наши банки есть в любом крупном городе.|Ясно, еще пара вопросов...|who",
	"tobankinfo"=>	"Для этого просто передай любой предмет мне и он будет помещен в банк в надежное хранилище.|Вот оно что...|who|Я хочу положить в банк|tobank|Я хочу забрать из банка|frombank|Это все что я хотел узнать, счастливо!|end",
	"frombankinfo"=>	"Просто поговори со мной, и я покажу список твоих вещей в банке.|Я хочу забрать из банка прямо сейчас|getnow|Понятно|who|Это все что я хотел узнать, до свидания|end",
	"end"=>	"Всегда к вашим услугам",
),
"npc.beginner"=>array(
	"begin"=>	"Приветствую тебя, <name>! Меня зовут Уин и я помогу тебе сделать первые шаги в этом мире. Кроме того, у меня ты всегда можешь узнать последние новости или спросить о чем-нибудь, если забудешь.|Какие новости?|news|Расскажи мне обо всем|do|Расскажи мне о...|list|Как мне найти...|find|До свиданья|end",
	"news"=>	"Пожалуй, пока никаких, жизнь идет свои чередом|Назад|begin|Тогда до встречи!|end",
	"find"=>	"Что именно тебя интересует?|Лекарь|lek|Банк|tobank|Магазины|mag|Академия|ak|Двор рыцарей|dvr|Выходы из города|exit|Ничего, я передумал|begin",
	"lek"=>	"Просто иди отсюда на север и зайди в первый встретившийся дом, не ошибешься.|А как найти...|find|Ясно, пока|end",
	"tobank"=>	"Иди отсюда на север и сразу поверни на запад, увидишь здание банка.|А как найти...|find|Ясно, пока|end",
	"mag"=>	"|А как найти...|find|Ясно, пока|end",
	"ak"=>	"Иди отсюда на север и поверни на северо-восток и попадешь прямо к парадному крыльцу Академии.|А как найти...|find|Ясно, пока|end",
	"dvr"=>	"Это немного сложнее, сейчас иди на север, потом мимо банка на центральную площадь, а уже там будет вход во двор.|А как найти...|find|Ясно, пока|end",
	"exit"=>	"Южные ворота: иди на юг и поверни на запад, Восточные ворота: иди на север, мимо Академии на восток и выйдешь к воротам. Северные ворота: около двора рыцарей сверни на север и около магазина снаряжения увидишь ворота.|А как найти...|find|Ясно, пока|end",
	"list"=>	"О чем тебе рассказать?|Что я могу делать|do|Об этом месте|place|О страже|crim|Что если я умру|die|О банке|bank|О навыках|skills|О магии|magic|О сражениях|fight|О торговле|trade|Как заработать|job|О приручении животных|tame|О контактах|contact|О макросах|macros|Ни о чем, я передумал|begin",
	"do"=>	"Для начала ты должен знать, что любой диалог можно прервать и вернуться в игру, а разговор закончить позже. Обычно никто на такие вещи не обижается. Итак, в игре ты можешь делать практически все что угодно: охотиться, путешествовать, разговаривать, выполнять квесты, использовать предметы, изучать магию, применять и развивать свои навыки, и многое, многое другое...|Дальше|place|А что насчет...|list|Ясно, пока|end",
	"place"=>	"Город довольно большой и в нем есть все что надо для жизни - магазины, библиотека, места для тренировок, банк, таверна и так далее. С юга город омывается рекой, там же находится порт, со всех остальных сторон город окружен лесами.|Дальше|place2|А что насчет...|list|Ясно, пока|end",
	"place2"=>	"На северо-востоке есть большое кладбище, куда обычно ходят охотиться на нежить, хотя и в лесах тварей хватает. Походи по городу, почитай указатели и вывески, поговори с жителями. Ориентироваться за пределами стен очень легко - просто выйди на любую дорогу и иди по ней, куда-нибудь да придешь.|Дальше|crim|А что насчет...|list|Ясно, пока|end",
	"crim"=>	"Другая важная вещь, которую ты должен знать - это преступники и городская стража. Любой человек, совершивший преступление, объявляется вне закона и на него сразу же нападает стража. К преступлениям относятся: нападение на невиновного, воровство, мародерство, натравливание своих животных на других людей.|Дальше|crim2|А что насчет...|list|Ясно, пока|end",
